Trt,Year,Cow Id,Date,Total_dist,Day_dist,NPre_dist,NPost_dist,Avg_speed,Day_avg_speed,NPre_avg_speed,NPost_avg_speed,Total_Siniosity,Day_Siniosity,Pre_Siniosity,Post_Siniosity,All_Wood,Day_Wood,Pre_Wood,Post_Wood,Cum_PPT_in,Act_PPT_in,Temp_c,Wind_Degree,Wind_mph,Lunar
Heavy,2005,101,3/2/2005,6686.148848422339,5445.28812443581,540.7410620324559,700.1196619540754,4.643158922515513,7.723812942462141,1.3900798509831773,2.023467231081143,0.033645923666050064,0.06305983640388435,0.21778121453127086,0.295874150357007,0.0,0.0,0.0,0.0,4.7,0,5.2,282,7,0.6
Heavy,2005,101,3/3/2005,6860.999728658547,4975.8687675368965,780.8266692630174,1104.304291858634,4.764583144901769,7.057969883031059,2.0021196647769677,3.2008820053873452,0.05151933988682567,0.017664648741345223,0.1895242004524491,0.3344181414231366,0.0,0.0,0.0,0.0,4.7,0,5.4,300,7,0.5
Heavy,2005,101,3/4/2005,7922.970559616171,5916.508569531681,1107.3312564417706,899.1307336427169,5.5020628886223415,8.39221073692437,2.839310913953258,2.606176039544107,0.09585991410627753,0.1417140101478947,0.05232301196152198,0.03530684922636226,0.0,0.0,0.0,0.0,4.7,0,5.9,278,8.3,0.38
Heavy,2005,101,3/5/2005,6467.529024541025,4588.985053506859,966.646505895182,911.8974651389775,4.491339600375712,6.509198657456538,2.4785807843466205,2.6431810583738478,0.16872292979311446,0.15421828932222184,0.5593140663921603,0.2682059935366511,0.0,0.0,0.0,0.0,4.7,0,6.3,319,6,0.27
Heavy,2005,101,3/6/2005,8523.891574978745,7066.542180663627,629.5192842244752,827.8301100906441,5.919369149290795,10.023464086047698,1.6141520108319878,2.399507565480128,0.08126655173981151,0.10276984048656285,0.10473209098861584,0.1351068307443807,19.93006993006993,40.714285714285715,0.0,0.0,4.75,0.05,5,143,4.8,0.17
Heavy,2005,101,3/7/2005,8169.826217805602,6618.158711734507,707.3643318527512,844.303174218341,5.673490429031668,9.38745916558086,1.8137546970583365,2.4472555774444666,0.15092763314361154,0.19166413976874203,0.06695254468787108,0.08647422503865972,33.44947735191638,19.148936170212767,1.2987012987012987,98.55072463768117,4.94,0.19,5.2,263,6.5,0.09
Heavy,2005,101,3/8/2005,7167.161665393578,5147.534537297066,1080.1668891257248,939.4602389707867,4.977195600967763,7.301467428790165,2.769658690065961,2.7230731564370627,0.07281460867646794,0.19291002887155093,0.15326652329278537,0.46641506221242685,56.59722222222222,61.702127659574465,97.43589743589743,0.0,4.94,0,7.2,262,7,0.04
Heavy,2005,101,3/9/2005,7062.551398600653,5344.082331122659,849.4657631271039,869.003304350886,4.904549582361565,7.580258625705898,2.178117341351548,2.5188501575388,0.034180075253559414,0.14242576048844752,0.03620237648318394,0.5652739569044448,26.480836236933797,53.90070921985816,0.0,0.0,4.94,0,7.9,311,8.9,0.01
Heavy,2005,101,3/10/2005,6165.922682735543,4706.098001341188,698.7065571508662,761.1181242434895,4.281890751899683,6.675316313959132,1.7915552747458108,2.2061394905608394,0.08122603994841347,0.06658985871050126,0.41190295433113683,0.4445700857213815,12.5,0.0,1.282051282051282,50.72463768115942,4.94,0,7.3,281,6.5,0
Heavy,2005,101,3/11/2005,6170.863174108717,3868.5086017947438,1105.9213363699212,1196.4332359440534,4.285321648686609,5.487246243680487,2.835695734281849,3.4679224230262418,0.18122951732478265,0.3431307917131031,0.1707415391521114,0.21152318818107654,18.466898954703833,21.27659574468085,29.87012987012987,0.0,4.94,0,10,187,7.4,0.03
Heavy,2005,101,3/12/2005,5812.404450884526,4432.6634461176745,734.7555742871729,644.9854304796794,4.036391979780921,6.287465881017978,1.883988652018392,1.8695229868976215,0.14126900918987922,0.13049582083722672,0.23653822016439086,0.43638393599228953,0.0,0.0,0.0,0.0,4.94,0,7.9,235,7,0.07
