Cow_id,Date,Daily_period,Easting,Northing
10,2/23/2005,Day_MCP,458034.4612,3789955.293
10,2/23/2005,Day_MCP,458047.7643,3790230.416
10,2/23/2005,Day_MCP,458052.2339,3790840.177
10,2/23/2005,Day_MCP,458042.9012,3790869.697
10,2/23/2005,Day_MCP,458025.1343,3790905.26
10,2/23/2005,Day_MCP,457952.9659,3790894.156
10,2/23/2005,Day_MCP,457840.5875,3790814.914
10,2/23/2005,Day_MCP,457392.8824,3790322.757
10,2/23/2005,Post_MCP,457626.6466,3789767.081
10,2/23/2005,Post_MCP,457677.8229,3789744.087
10,2/23/2005,Post_MCP,457884.3981,3789823.858
10,2/23/2005,Post_MCP,457892.0308,3789827.797
10,2/23/2005,Post_MCP,457922.9851,3789855.78
10,2/23/2005,Post_MCP,457946.667,3789884.257
10,2/23/2005,Post_MCP,457959.3138,3789915.988
10,2/23/2005,Post_MCP,457986.3762,3790002.296
10,2/23/2005,Post_MCP,457991.5852,3790022.232
10,2/23/2005,Post_MCP,457990.5558,3790061.694
10,2/23/2005,Post_MCP,457985.7605,3790115.557
10,2/23/2005,Post_MCP,457977.9706,3790140.172
10,2/23/2005,All_Day_MCP,457389.2211,3790120.961
10,2/23/2005,All_Day_MCP,457397.1709,3790006.249
10,2/23/2005,All_Day_MCP,457626.6466,3789767.081
10,2/23/2005,All_Day_MCP,457677.8229,3789744.087
10,2/23/2005,All_Day_MCP,457884.3981,3789823.858
10,2/23/2005,All_Day_MCP,457892.0308,3789827.797
10,2/23/2005,All_Day_MCP,458029.3422,3789943.088
10,2/23/2005,All_Day_MCP,458034.4612,3789955.293
10,2/23/2005,All_Day_MCP,458047.7643,3790230.416
10,2/23/2005,All_Day_MCP,458052.2339,3790840.177
10,2/23/2005,All_Day_MCP,458042.9012,3790869.697
10,2/23/2005,All_Day_MCP,458025.1343,3790905.26
10,2/23/2005,All_Day_MCP,457952.9659,3790894.156
10,2/23/2005,All_Day_MCP,457840.5875,3790814.914
10,2/23/2005,All_Day_MCP,457392.8824,3790322.757
10,2/24/2005,Pre_MCP,457464.1098,3789731.719
10,2/24/2005,Pre_MCP,457465.2481,3789716.744
10,2/24/2005,Pre_MCP,457540.0658,3789660.068
10,2/24/2005,Pre_MCP,457617.6917,3789688.67
10,2/24/2005,Pre_MCP,457636.5025,3789712.765
10,2/24/2005,Pre_MCP,457633.4681,3789732.06
10,2/24/2005,Pre_MCP,457578.9792,3789814.578
10,2/24/2005,Pre_MCP,457527.3578,3789865.203
10,2/24/2005,Pre_MCP,457512.42,3789870.785
10,2/24/2005,Day_MCP,457458.3556,3790131.612
10,2/24/2005,Day_MCP,457459.2737,3790108.722
10,2/24/2005,Day_MCP,457562.7563,3789672.594
10,2/24/2005,Day_MCP,457703.3274,3789529.316
10,2/24/2005,Day_MCP,457870.3509,3789515.443
10,2/24/2005,Day_MCP,458648.3159,3789512.286
10,2/24/2005,Day_MCP,459338.9437,3789512.377
10,2/24/2005,Day_MCP,459342.4878,3789516.365
10,2/24/2005,Day_MCP,458986.4445,3790132.532
10,2/24/2005,Day_MCP,458781.1113,3790243.456
10,2/24/2005,Day_MCP,458474.7446,3790247.52
10,2/24/2005,Day_MCP,458355.7412,3790248.755
10,2/24/2005,Day_MCP,458257.7294,3790249.593
10,2/24/2005,Day_MCP,458083.4321,3790250.4
10,2/24/2005,Day_MCP,458066.9845,3790249.796
10,2/24/2005,Day_MCP,457659.507,3790224.985
10,2/24/2005,Post_MCP,457952.282,3790144.507
10,2/24/2005,Post_MCP,457953.8471,3790140.372
10,2/24/2005,Post_MCP,458028.7386,3790077.663
10,2/24/2005,Post_MCP,458057.798,3790106.363
10,2/24/2005,Post_MCP,458055.6483,3790111.579
10,2/24/2005,Post_MCP,458051.2199,3790115.818
10,2/24/2005,Post_MCP,457959.6679,3790155.069
10,2/24/2005,All_Day_MCP,457458.3556,3790131.612
10,2/24/2005,All_Day_MCP,457464.1098,3789731.719
10,2/24/2005,All_Day_MCP,457465.2481,3789716.744
10,2/24/2005,All_Day_MCP,457703.3274,3789529.316
10,2/24/2005,All_Day_MCP,457870.3509,3789515.443
10,2/24/2005,All_Day_MCP,458648.3159,3789512.286
10,2/24/2005,All_Day_MCP,459338.9437,3789512.377
10,2/24/2005,All_Day_MCP,459342.4878,3789516.365
10,2/24/2005,All_Day_MCP,458986.4445,3790132.532
10,2/24/2005,All_Day_MCP,458781.1113,3790243.456
10,2/24/2005,All_Day_MCP,458474.7446,3790247.52
10,2/24/2005,All_Day_MCP,458355.7412,3790248.755
10,2/24/2005,All_Day_MCP,458257.7294,3790249.593
10,2/24/2005,All_Day_MCP,458083.4321,3790250.4
10,2/24/2005,All_Day_MCP,458066.9845,3790249.796
10,2/24/2005,All_Day_MCP,457659.507,3790224.985
10,2/25/2005,Pre_MCP,458009.9834,3790075.868
10,2/25/2005,Pre_MCP,458025.6327,3790081.157
10,2/25/2005,Pre_MCP,458059.5505,3790098.81
10,2/25/2005,Pre_MCP,458305.0352,3790344.096
10,2/25/2005,Pre_MCP,458047.532,3790114.757
10,2/25/2005,Day_MCP,456713.937,3789867.26
10,2/25/2005,Day_MCP,456714.9499,3789865.254
10,2/25/2005,Day_MCP,456875.6593,3789753.411
10,2/25/2005,Day_MCP,457148.8484,3789679.158
10,2/25/2005,Day_MCP,457449.9688,3789602.507
10,2/25/2005,Day_MCP,458036.0216,3790091.984
10,2/25/2005,Day_MCP,458036.6773,3790096.54
10,2/25/2005,Day_MCP,458038.4103,3790117.539
10,2/25/2005,Day_MCP,457686.3935,3790118.937
10,2/25/2005,Day_MCP,457650.0766,3790112.509
10,2/25/2005,Post_MCP,456918.0471,3789806.072
10,2/25/2005,Post_MCP,456945.4315,3789791.931
10,2/25/2005,Post_MCP,457238.2233,3789773.989
10,2/25/2005,Post_MCP,457291.5766,3789790.441
10,2/25/2005,Post_MCP,456926.2388,3789829.351
10,2/25/2005,Post_MCP,456921.4502,3789827.279
10,2/25/2005,Post_MCP,456919.4599,3789822.976
10,2/25/2005,All_Day_MCP,456713.937,3789867.26
10,2/25/2005,All_Day_MCP,456714.9499,3789865.254
10,2/25/2005,All_Day_MCP,456875.6593,3789753.411
10,2/25/2005,All_Day_MCP,457148.8484,3789679.158
10,2/25/2005,All_Day_MCP,457449.9688,3789602.507
