ID,Cow_ID,FixDate,FixTime,Northing,Easting
151,4535_19AN,2018-11-20,14:00:33,3627150.5,540205.08
152,4535_19AN,2018-11-20,14:10:46,3627117.1,540228.6
153,4535_19AN,2018-11-20,14:20:36,3627098.7,540200.76
154,4535_19AN,2018-11-20,14:30:45,3627080.4,540210.96
155,4535_19AN,2018-11-20,14:40:26,3627008.9,540186.84
156,4535_19AN,2018-11-20,14:50:51,3627023.7,540072.95
157,4535_19AN,2018-11-20,15:00:43,3626975,540126.47
158,4535_19AN,2018-11-20,15:10:48,3626978.7,540131.06
159,4535_19AN,2018-11-20,15:20:32,3626976.7,540127.22
160,4535_19AN,2018-11-20,15:30:39,3626986.9,540128.43
161,4535_19AN,2018-11-20,15:40:36,3626984.3,540131.59
162,4535_19AN,2018-11-20,15:50:34,3626972.4,540123.57
163,4535_19AN,2018-11-20,16:00:36,3626971.5,540124.95
164,4535_19AN,2018-11-20,16:10:33,3626974.1,540129
165,4535_19AN,2018-11-20,16:20:28,3626966.4,540131.61
166,4535_19AN,2018-11-20,16:30:26,3626987.6,540122.83
167,4535_19AN,2018-11-20,16:40:39,3626973.1,540127.89
168,4535_19AN,2018-11-20,16:50:36,3626979.6,540128.36
169,4535_19AN,2018-11-20,17:00:40,3626971.8,540126.41
170,4535_19AN,2018-11-20,17:10:31,3626623.8,540092.93
171,4535_19AN,2018-11-20,17:20:38,3626616.5,540095.17
172,4535_19AN,2018-11-20,17:30:36,3626617.4,540090.78
173,4535_19AN,2018-11-20,17:40:49,3626627.4,540083.76
174,4535_19AN,2018-11-20,17:50:37,3626642.2,540090.15
175,4535_19AN,2018-11-20,18:00:37,3626623.9,540091.76
176,4535_19AN,2018-11-20,18:10:36,3626622.2,540087.4
177,4535_19AN,2018-11-20,18:20:42,3626577.5,540131.86
178,4535_19AN,2018-11-20,18:30:58,3626530.7,540185.37
179,4535_19AN,2018-11-20,18:40:52,3626632.6,540108.51
180,4535_19AN,2018-11-20,18:50:36,3626996.1,540206.82
181,4535_19AN,2018-11-20,19:00:37,3627134.9,540330.21
182,4535_19AN,2018-11-20,19:10:32,3627129.6,540320.46
183,4535_19AN,2018-11-20,19:20:48,3627139.6,540316.98
184,4535_19AN,2018-11-20,19:30:33,3627129.8,540320.61
185,4535_19AN,2018-11-20,19:40:36,3627140.5,540336.15
186,4535_19AN,2018-11-20,19:50:55,3627141.8,540340.05
187,4535_19AN,2018-11-20,20:00:40,3627139.2,540347.26
188,4535_19AN,2018-11-20,20:10:37,3627124.6,540342.17
189,4535_19AN,2018-11-20,20:20:47,3627114,540272.89
190,4535_19AN,2018-11-20,20:30:42,3627116.2,540258.65
191,4535_19AN,2018-11-20,20:40:36,3627113.6,540266.02
192,4535_19AN,2018-11-20,20:50:34,3627095.9,540262.3
193,4535_19AN,2018-11-20,21:00:31,3627110.7,540258
194,4535_19AN,2018-11-20,21:10:45,3627133.8,540253.45
195,4535_19AN,2018-11-20,21:21:22,3627133.8,540272.59
196,4535_19AN,2018-11-20,21:30:29,3627141.2,540281.93
197,4535_19AN,2018-11-20,21:40:36,3627134.4,540272.78
198,4535_19AN,2018-11-20,21:50:42,3627131.2,540272.66
199,4535_19AN,2018-11-20,22:00:34,3627114.4,540262.09
200,4535_19AN,2018-11-20,22:10:30,3627119.3,540260.56
201,4535_19AN,2018-11-20,22:20:37,3627134.7,540283.39
202,4535_19AN,2018-11-20,22:30:39,3627127.3,540271.58
203,4535_19AN,2018-11-20,22:40:29,3627123.8,540284.89
204,4535_19AN,2018-11-20,22:50:26,3627113.6,540232.3
205,4535_19AN,2018-11-20,23:00:47,3627127.5,540268.54
206,4535_19AN,2018-11-20,23:10:32,3627118.7,540281.01
207,4535_19AN,2018-11-20,23:20:58,3627129.4,540260.73
208,4535_19AN,2018-11-20,23:30:36,3627127.3,540274.48
209,4535_19AN,2018-11-20,23:40:49,3627143.6,540272.71
210,4535_19AN,2018-11-20,23:50:34,3627115.9,540264.01
211,4535_19AN,2018-11-21,0:00:36,3627128.3,540267.7
212,4535_19AN,2018-11-21,0:10:36,3627138.5,540271.93
213,4535_19AN,2018-11-21,0:20:29,3627132.3,540269.61
214,4535_19AN,2018-11-21,0:30:35,3627107.8,540266.64
215,4535_19AN,2018-11-21,0:40:36,3627105.8,540268.05
216,4535_19AN,2018-11-21,0:50:36,3627113.7,540281.53
217,4535_19AN,2018-11-21,1:00:50,3627103.8,540268.3
218,4535_19AN,2018-11-21,1:10:30,3627102.5,540263.85
219,4535_19AN,2018-11-21,1:20:35,3627105.4,540248.26
220,4535_19AN,2018-11-21,1:30:47,3627107.2,540260.56
221,4535_19AN,2018-11-21,1:40:49,3627092.8,540251.25
222,4535_19AN,2018-11-21,1:50:37,3627084.2,540238.6
223,4535_19AN,2018-11-21,2:00:36,3627077.5,540241.35
224,4535_19AN,2018-11-21,2:10:35,3627072.8,540241.37
225,4535_19AN,2018-11-21,2:20:37,3627080.8,540247.55
226,4535_19AN,2018-11-21,2:30:48,3627120.9,540239.82
227,4535_19AN,2018-11-21,2:40:33,3627118,540259.03
228,4535_19AN,2018-11-21,2:50:42,3627127.6,540248.36
229,4535_19AN,2018-11-21,3:00:36,3627122.1,540239.01
230,4535_19AN,2018-11-21,3:10:30,3627118.9,540252.08
231,4535_19AN,2018-11-21,3:20:49,3627119.6,540238.03
232,4535_19AN,2018-11-21,3:30:48,3627122.2,540237.14
233,4535_19AN,2018-11-21,3:40:46,3627098.6,540247.41
234,4535_19AN,2018-11-21,3:50:31,3627114.4,540242.71
235,4535_19AN,2018-11-21,4:00:37,3627135.9,540233.88
236,4535_19AN,2018-11-21,4:10:35,3627119.2,540241.86
237,4535_19AN,2018-11-21,4:20:50,3627116.8,540244.52
238,4535_19AN,2018-11-21,4:30:41,3627116.7,540242.68
239,4535_19AN,2018-11-21,4:40:31,3627140.7,540238.73
240,4535_19AN,2018-11-21,4:50:55,3627120.3,540246.19
241,4535_19AN,2018-11-21,5:00:35,3627116.9,540247.51
242,4535_19AN,2018-11-21,5:10:42,3627120.5,540235.01
243,4535_19AN,2018-11-21,5:20:44,3627114.5,540248.92
244,4535_19AN,2018-11-21,5:30:38,3627123.9,540233.12
245,4535_19AN,2018-11-21,5:40:48,3627112,540243.24
246,4535_19AN,2018-11-21,5:50:36,3627121.9,540254.07
247,4535_19AN,2018-11-21,6:00:40,3627123.2,540236.2
248,4535_19AN,2018-11-21,6:10:36,3627119.3,540240.84
249,4535_19AN,2018-11-21,6:20:50,3627121.7,540241.49
250,4535_19AN,2018-11-21,6:30:32,3627122.3,540248.87
251,4535_19AN,2018-11-21,6:40:36,3627122.4,540245.85
252,4535_19AN,2018-11-21,6:50:33,3627127.6,540279.13
253,4535_19AN,2018-11-21,7:00:37,3627127.7,540241.25
254,4535_19AN,2018-11-21,7:10:39,3627110.5,540238.07
255,4535_19AN,2018-11-21,7:20:43,3627114.4,540240.45
256,4535_19AN,2018-11-21,7:31:24,3627122.9,540247.67
257,4535_19AN,2018-11-21,7:51:20,3627113.8,540243.91
258,4535_19AN,2018-11-21,8:00:27,3627122.1,540249.55
259,4535_19AN,2018-11-21,8:10:40,3627111.6,540246.59
260,4535_19AN,2018-11-21,8:20:37,3627126.6,540248.73
261,4535_19AN,2018-11-21,8:30:47,3627116.4,540245.33
262,4535_19AN,2018-11-21,8:40:31,3627113.9,540255.82
263,4535_19AN,2018-11-21,8:50:34,3627055.9,540320.67
264,4535_19AN,2018-11-21,9:00:43,3627119,540250.94
265,4535_19AN,2018-11-21,9:10:32,3627104,540238.96
266,4535_19AN,2018-11-21,9:20:42,3627086.6,540224.72
267,4535_19AN,2018-11-21,9:30:48,3627074.8,540237.14
268,4535_19AN,2018-11-21,9:40:31,3627068.4,540242.74
269,4535_19AN,2018-11-21,9:50:50,3627056.4,540235.58
270,4535_19AN,2018-11-21,10:00:42,3627040.4,540244.6
271,4535_19AN,2018-11-21,10:11:16,3627034,540244.08
272,4535_19AN,2018-11-21,10:20:42,3627011.7,540238.63
273,4535_19AN,2018-11-21,10:30:43,3627004.2,540238.92
274,4535_19AN,2018-11-21,10:40:45,3626989.2,540232.37
275,4535_19AN,2018-11-21,10:50:48,3626973.1,540223.15
276,4535_19AN,2018-11-21,11:00:36,3626974.7,540214.77
277,4535_19AN,2018-11-21,11:10:36,3626959,540205.33
278,4535_19AN,2018-11-21,11:20:34,3626947.8,540217.99
279,4535_19AN,2018-11-21,11:30:37,3626962.3,540232.09
280,4535_19AN,2018-11-21,11:40:45,3626956.6,540240.67
281,4535_19AN,2018-11-21,11:50:37,3626951.6,540227.19
282,4535_19AN,2018-11-21,12:00:37,3626950.6,540225.71
283,4535_19AN,2018-11-21,12:10:34,3626944.2,540233.85
284,4535_19AN,2018-11-21,12:20:36,3626943.3,540235.42
285,4535_19AN,2018-11-21,12:30:48,3626941.9,540231.23
286,4535_19AN,2018-11-21,12:40:41,3626944.3,540233.91
287,4535_19AN,2018-11-21,12:51:04,3626944.6,540230.75
288,4535_19AN,2018-11-21,13:00:48,3626946.3,540234.75
289,4535_19AN,2018-11-21,13:10:40,3626899.4,540196.18
290,4535_19AN,2018-11-21,13:20:45,3626897,540188.96
291,4535_19AN,2018-11-21,13:30:48,3626882.1,540190.22
292,4535_19AN,2018-11-21,13:40:34,3626876.7,540200.11
293,4535_19AN,2018-11-21,13:50:30,3626863.6,540204.5
294,4535_19AN,2018-11-21,14:00:42,3626768.9,540181.13
295,4535_19AN,2018-11-21,14:10:37,3626625.7,540088.22
296,4535_19AN,2018-11-21,14:20:33,3626610.4,540099.08
297,4535_19AN,2018-11-21,14:30:42,3626618.2,540091.86
298,4535_19AN,2018-11-21,14:40:35,3626613.8,540104.32
299,4535_19AN,2018-11-21,14:50:52,3626618.8,540091.89
300,4535_19AN,2018-11-21,15:00:36,3626621,540092.55
301,4535_19AN,2018-11-21,15:10:35,3626623.8,540089.73
302,4535_19AN,2018-11-21,15:20:35,3626619.9,540092.14
303,4535_19AN,2018-11-21,15:30:35,3626622.9,540098.29
304,4535_19AN,2018-11-21,15:40:36,3626621,540094.16
305,4535_19AN,2018-11-21,15:50:48,3626620.7,540090.06
306,4535_19AN,2018-11-21,16:00:37,3626623.3,540096.19
307,4535_19AN,2018-11-21,16:10:36,3626620,540103.88
308,4535_19AN,2018-11-21,16:20:37,3626620.4,540092.22
309,4535_19AN,2018-11-21,16:30:39,3626619.7,540089.23
310,4535_19AN,2018-11-21,16:40:37,3626621.5,540090.21
311,4535_19AN,2018-11-21,16:50:36,3626610.5,540085.16
312,4535_19AN,2018-11-21,17:00:35,3626614.6,540093.44
313,4535_19AN,2018-11-21,17:10:36,3626621.4,540089.46
314,4535_19AN,2018-11-21,17:20:35,3626613.9,540093.28
315,4535_19AN,2018-11-21,17:30:32,3626631.6,540081.71
316,4535_19AN,2018-11-21,17:41:00,3626676.1,540138.98
317,4535_19AN,2018-11-21,17:50:47,3626904.4,540346.19
318,4535_19AN,2018-11-21,18:00:46,3626974,540415.88
319,4535_19AN,2018-11-21,18:10:42,3626994.4,540425.58
320,4535_19AN,2018-11-21,18:20:47,3626983,540459.89
321,4535_19AN,2018-11-21,18:31:02,3627039,540489.78
322,4535_19AN,2018-11-21,18:41:42,3627056.5,540479.93
323,4535_19AN,2018-11-21,18:50:42,3627158.7,540553.44
324,4535_19AN,2018-11-21,19:00:43,3627179.5,540562.38
325,4535_19AN,2018-11-21,19:10:35,3627179.1,540625.39
326,4535_19AN,2018-11-21,19:20:44,3627156.1,540719.67
327,4535_19AN,2018-11-21,19:30:32,3627128.3,540809.28
328,4535_19AN,2018-11-21,19:41:08,3627138.8,540793.81
329,4535_19AN,2018-11-21,19:50:49,3627130.2,540790.41
330,4535_19AN,2018-11-21,20:00:37,3627116.2,540768.72
331,4535_19AN,2018-11-21,20:10:37,3627130.2,540759.71
332,4535_19AN,2018-11-21,20:20:36,3627135.2,540765.94
333,4535_19AN,2018-11-21,20:30:31,3626886.9,540720.7
334,4535_19AN,2018-11-21,20:40:36,3626841.7,540710.51
335,4535_19AN,2018-11-21,20:50:48,3626847.8,540722.79
336,4535_19AN,2018-11-21,21:00:34,3626819.4,540705.4
337,4535_19AN,2018-11-21,21:10:36,3626817.1,540713.97
338,4535_19AN,2018-11-21,21:20:35,3626803.9,540702.65
339,4535_19AN,2018-11-21,21:30:41,3626779,540700.57
340,4535_19AN,2018-11-21,21:40:42,3626788,540701.52
341,4535_19AN,2018-11-21,21:50:33,3626792.8,540714.02
342,4535_19AN,2018-11-21,22:00:39,3626790.5,540703.62
343,4535_19AN,2018-11-21,22:10:36,3626786.9,540700.75
344,4535_19AN,2018-11-21,22:20:48,3626786.7,540702.59
345,4535_19AN,2018-11-21,22:30:36,3626791.1,540709.23
346,4535_19AN,2018-11-21,22:40:42,3626788.1,540697.49
347,4535_19AN,2018-11-21,22:50:36,3626774.7,540681.91
348,4535_19AN,2018-11-21,23:00:32,3626824.5,540699.06
349,4535_19AN,2018-11-21,23:10:40,3626841.3,540705.21
350,4535_19AN,2018-11-21,23:20:42,3626848.9,540707.28
351,4535_19AN,2018-11-21,23:30:53,3626830.6,540712.3
352,4535_19AN,2018-11-21,23:40:47,3626833,540704.28
353,4535_19AN,2018-11-21,23:50:46,3626843,540715.43
354,4535_19AN,2018-11-22,0:00:33,3626836,540716.2
355,4535_19AN,2018-11-22,0:10:44,3626838.4,540741.3
356,4535_19AN,2018-11-22,0:20:34,3626828.4,540738.84
357,4535_19AN,2018-11-22,0:30:55,3626844.5,540732.01
358,4535_19AN,2018-11-22,0:40:44,3626846.1,540732.92
359,4535_19AN,2018-11-22,0:50:35,3626837.5,540725.18
360,4535_19AN,2018-11-22,1:00:34,3626841.4,540728.51
361,4535_19AN,2018-11-22,1:10:36,3626848,540735.9
362,4535_19AN,2018-11-22,1:20:42,3626832.5,540724.73
