Pixel,Northing,Easting
343,3625497.378,543137.2045
344,3625977.378,543257.2045
345,3627447.378,541577.2045
346,3628347.378,547997.2045
347,3627087.378,540737.2045
348,3627057.378,541667.2045
349,3628017.378,546077.2045
350,3627177.378,539807.2045
351,3629037.378,543797.2045
352,3626037.378,548447.2045
353,3627627.378,548027.2045
354,3622986.992,544756.7069
355,3625797.378,542357.2045
356,3625347.378,547967.2045
357,3627567.378,546347.2045
358,3629547.378,542327.2045
359,3626637.378,538067.2045
360,3627117.378,541427.2045
361,3625737.378,539057.2045
362,3626307.378,537707.2045
363,3626517.378,545417.2045
364,3628527.378,539297.2045
365,3628047.378,547127.2045
366,3626487.378,539447.2045
367,3626007.378,542777.2045
368,3626187.378,538667.2045
369,3625797.378,539447.2045
370,3628767.378,541547.2045
371,3623457.378,545477.2045
372,3626187.378,541307.2045
373,3626067.378,541547.2045
374,3626907.378,538817.2045
375,3627837.378,541067.2045
376,3625647.378,543407.2045
377,3630986.982,544906.8684
378,3627027.378,544187.2045
379,3625287.378,547967.2045
380,3627717.378,546407.2045
381,3628197.378,539147.2045
382,3628917.378,543857.2045
383,3625767.378,547397.2045
384,3626577.378,547157.2045
385,3625797.378,546857.2045
386,3626307.378,540047.2045
387,3628917.378,540107.2045
388,3625287.55,537617.3919
389,3629067.378,546797.2045
390,3625647.378,542207.2045
391,3626217.378,541067.2045
392,3629307.378,545267.2045
393,3630807.378,543467.2045
394,3624897.378,542927.2045
395,3629127.378,547217.2045
396,3629037.378,543377.2045
397,3626517.378,538607.2045
398,3625287.378,546047.2045
399,3627447.378,539897.2045
400,3627837.378,544127.2045
401,3628077.378,539117.2045
402,3627957.378,540017.2045
403,3625917.378,546707.2045
404,3628017.378,548327.2045
405,3627897.378,542237.2045
406,3630357.378,543437.2045
407,3628257.378,547277.2045
408,3629517.378,545387.2045
409,3629127.378,541697.2045
410,3626367.378,544937.2045
411,3625437.378,541757.2045
412,3626367.378,537977.2045
413,3626007.378,545417.2045
414,3625467.378,544367.2045
415,3626727.378,542387.2045
416,3625677.378,538757.2045
